,State,DC Fast Charge,Level 1,Level 2,EV Network
412,TX,,,1.0,
413,TX,,,1.0,
414,TX,,,1.0,
415,TX,,,1.0,
416,TX,,,1.0,
417,TX,,,1.0,
418,TX,1.0,,1.0,
419,TX,1.0,,1.0,
420,TX,,,1.0,
421,TX,,,1.0,
422,TX,,,1.0,
423,TX,,,1.0,
424,TX,,,1.0,
425,VA,1.0,,1.0,
426,VA,1.0,,1.0,
427,VA,1.0,,1.0,
428,VA,,,1.0,
429,VA,1.0,,1.0,
430,VA,,,1.0,
431,VA,,4.0,,
432,VA,,,4.0,ChargePoint Network
433,VA,1.0,,1.0,
434,VA,2.0,,1.0,
435,VA,,,2.0,
436,VA,1.0,,3.0,
437,WA,2.0,,1.0,
438,WA,,,1.0,
439,WA,1.0,,1.0,
440,WA,,,2.0,
441,WA,,,2.0,
442,WA,2.0,,1.0,
443,WA,,,1.0,
444,WA,,,1.0,
445,WA,2.0,,1.0,
446,WA,1.0,,1.0,
447,WA,,1.0,1.0,ChargePoint Network
448,WA,1.0,,1.0,
449,WA,,,2.0,
450,WA,2.0,,1.0,
451,WA,,,1.0,
452,WA,,,1.0,
453,WA,,,1.0,
454,TN,1.0,,1.0,
455,TN,1.0,,1.0,
456,TN,,,1.0,
457,TN,,,1.0,
458,TN,,,1.0,
459,TN,1.0,,1.0,
460,TN,1.0,,1.0,
461,TN,,,1.0,
462,TN,,,1.0,
463,TN,,,1.0,
464,TN,,,1.0,
465,TN,1.0,,1.0,
466,TN,,,1.0,
467,TN,,,1.0,
468,TN,,,1.0,
469,TN,1.0,,1.0,
470,TN,,,1.0,
471,TN,1.0,,1.0,
472,TN,1.0,,1.0,
473,TN,1.0,,1.0,
474,OR,,,1.0,
475,OR,2.0,,1.0,
476,OR,,,1.0,
477,OR,,,1.0,
478,OR,,,1.0,
479,OR,,,1.0,
480,OR,,,1.0,
481,OR,,,1.0,
482,OR,,,1.0,
483,OR,,,1.0,
484,OR,2.0,,1.0,
485,OR,,,2.0,
486,SC,1.0,,1.0,
487,SC,1.0,,1.0,
488,TN,,,1.0,
489,TN,1.0,,1.0,
490,TN,,,1.0,
491,TN,,,1.0,
492,AL,1.0,,4.0,
493,AL,,,1.0,
494,AL,1.0,,1.0,
495,AL,1.0,,1.0,
496,AZ,,,1.0,
497,AZ,1.0,,2.0,
498,AZ,,,1.0,
499,AZ,,,1.0,
500,AZ,1.0,,2.0,
501,AZ,,,1.0,
502,AZ,1.0,,1.0,
503,AZ,,,1.0,
504,AZ,,,3.0,
505,AZ,1.0,,3.0,Greenlots
506,AZ,,,1.0,
507,AZ,1.0,,,
508,AZ,,,1.0,
509,CA,,,1.0,
510,CA,,,1.0,
511,CA,1.0,,1.0,
512,CA,,,3.0,
513,CA,,,2.0,
514,CA,,,1.0,
515,CA,,,1.0,
516,CA,,,3.0,
517,CA,1.0,,2.0,
518,CA,,,1.0,
519,CA,1.0,,1.0,
520,CA,,,1.0,
521,CA,1.0,,2.0,
522,CA,,,2.0,
523,CA,,,1.0,
524,CA,,,4.0,
525,CA,,,1.0,
526,CA,,,1.0,
527,CA,,,2.0,
528,CA,1.0,,4.0,
529,CA,,,1.0,
530,CA,,,1.0,
531,CA,,,3.0,
532,CA,,,2.0,
533,CA,,,2.0,
534,CA,,,1.0,
535,CA,1.0,,2.0,
536,CA,,,1.0,
537,CA,,,2.0,
538,CA,,,1.0,
539,CA,,,3.0,
540,CA,1.0,,2.0,
541,CA,,,1.0,
542,CA,1.0,,2.0,
543,CA,1.0,,2.0,
544,CA,1.0,,2.0,
545,CA,1.0,,1.0,
546,CA,,,2.0,
547,CA,,,1.0,
548,CA,,,1.0,
549,CA,,,1.0,
550,CA,1.0,,1.0,
551,CA,1.0,,3.0,
552,CA,,,1.0,
553,CA,,,1.0,
554,CA,1.0,,2.0,
555,CA,1.0,,2.0,
556,CA,,,1.0,
557,CA,,,2.0,
558,CA,,,4.0,
559,CA,1.0,,1.0,
560,CA,,,1.0,
561,CA,,,3.0,
562,CA,,,1.0,
563,CA,,,1.0,
564,CA,,,2.0,
565,CA,,,1.0,
566,CA,1.0,,1.0,
567,CA,1.0,,1.0,
568,CA,1.0,,1.0,
569,CA,1.0,,1.0,
570,CA,1.0,,1.0,
571,CA,,,2.0,
572,CA,,,1.0,
573,CA,1.0,,2.0,
574,CA,1.0,,2.0,
575,CA,1.0,,4.0,
576,CA,,,1.0,
577,CA,,,1.0,
578,CA,,,4.0,
579,CA,1.0,,2.0,
580,CA,,,1.0,
581,CA,,,1.0,
582,CA,,,2.0,
583,CA,1.0,,2.0,
584,CA,,,1.0,
585,CA,,,1.0,
586,CA,,,1.0,
587,CA,,,3.0,
588,CA,,,1.0,
589,CA,,,1.0,
590,CA,,,1.0,
591,CA,,,1.0,
592,FL,,,1.0,
593,FL,,,1.0,
594,FL,1.0,,1.0,
595,FL,1.0,,1.0,
596,FL,1.0,,1.0,
597,FL,,,1.0,
598,FL,1.0,,1.0,
599,FL,,,1.0,
600,FL,1.0,,1.0,
601,FL,1.0,,1.0,
602,FL,1.0,,1.0,
603,FL,,,1.0,
604,FL,,,1.0,
605,FL,1.0,,1.0,
606,FL,,,1.0,
607,FL,1.0,,1.0,
608,FL,,,1.0,
609,FL,,,1.0,
610,FL,,,1.0,
611,GA,1.0,,1.0,
612,GA,1.0,,1.0,
613,GA,1.0,,1.0,
614,GA,1.0,,1.0,
615,GA,1.0,,1.0,
616,GA,1.0,,1.0,
617,GA,,,1.0,
618,GA,1.0,,1.0,
619,GA,1.0,,1.0,
620,GA,,,1.0,
621,HI,1.0,,2.0,
622,HI,,,1.0,
623,HI,1.0,,1.0,
624,HI,1.0,,2.0,
625,MD,,,4.0,SemaCharge Network
626,MD,,,4.0,SemaCharge Network
627,MD,,,2.0,SemaCharge Network
628,MD,,,5.0,SemaCharge Network
629,MD,,1.0,,
630,MD,,,1.0,
631,MD,,,2.0,
632,MD,,,1.0,SemaCharge Network
633,MD,,,5.0,SemaCharge Network
634,MD,,,1.0,
635,MD,,,2.0,SemaCharge Network
636,MD,,5.0,5.0,ChargePoint Network
637,MD,,,1.0,
638,MD,,,1.0,
639,MD,,,1.0,SemaCharge Network
640,MD,,,1.0,SemaCharge Network
641,MD,1.0,,1.0,
642,MD,,,2.0,SemaCharge Network
643,MD,,,1.0,SemaCharge Network
644,MD,,,2.0,SemaCharge Network
645,MD,,1.0,5.0,ChargePoint Network
646,MN,,1.0,1.0,ChargePoint Network
647,MN,,2.0,2.0,ChargePoint Network
648,MN,,4.0,4.0,
649,MN,,2.0,2.0,
650,MN,,1.0,1.0,ChargePoint Network
651,MN,,2.0,2.0,ChargePoint Network
652,MN,,2.0,2.0,ChargePoint Network
653,MN,,2.0,4.0,ChargePoint Network
654,MN,,1.0,1.0,ChargePoint Network
655,MN,,2.0,2.0,
656,NC,1.0,,1.0,
657,NC,1.0,,1.0,
658,NC,,,1.0,
659,NC,,,1.0,
660,CA,,,2.0,
661,SC,,,2.0,
662,VA,,,1.0,
663,NJ,,2.0,2.0,ChargePoint Network
664,NV,,,4.0,ChargePoint Network
665,TX,,3.0,3.0,ChargePoint Network
666,TX,,,4.0,ChargePoint Network
667,TX,,3.0,3.0,ChargePoint Network
668,TX,,1.0,1.0,ChargePoint Network
669,VA,,,2.0,
670,VA,,5.0,5.0,ChargePoint Network
671,VA,1.0,,2.0,
672,WA,,,6.0,ChargePoint Network
673,WA,,3.0,3.0,ChargePoint Network
674,WI,,1.0,1.0,ChargePoint Network
675,WI,,1.0,3.0,ChargePoint Network
676,CA,,,12.0,ChargePoint Network
677,CA,,1.0,9.0,ChargePoint Network
678,CA,,1.0,9.0,ChargePoint Network
679,CA,,1.0,9.0,ChargePoint Network
680,CA,,,2.0,ChargePoint Network
681,CA,,1.0,1.0,ChargePoint Network
682,CA,,1.0,1.0,ChargePoint Network
683,CA,,1.0,1.0,
684,CA,,2.0,2.0,ChargePoint Network
685,CT,,1.0,1.0,ChargePoint Network
686,FL,,2.0,2.0,ChargePoint Network
687,FL,,1.0,1.0,ChargePoint Network
688,FL,,1.0,1.0,ChargePoint Network
689,FL,,1.0,1.0,ChargePoint Network
690,FL,,,1.0,
691,MI,,1.0,1.0,ChargePoint Network
692,MI,,1.0,1.0,ChargePoint Network
693,MI,,1.0,1.0,ChargePoint Network
694,MI,,1.0,1.0,ChargePoint Network
695,MI,,1.0,1.0,ChargePoint Network
696,MI,,1.0,1.0,ChargePoint Network
697,MI,,1.0,3.0,ChargePoint Network
